,date,district,street,crime
234,06.09.2024,Leipzig (Zentrum-Süd),,Geraubte Musikbox bei Durchsuchung gefunden
235,11.02.2025,Leipzig (Grünau-Nord),Am kleinen Feld,Wohnungseinbruch mit hohem Stehlschaden
236,14.02.2025,Leipzig (Grünau-Mitte),,Sachbeschädigung und Brandstiftung in Lokal
237,13.02.2025,Leipzig (Sellerhausen-Stünz),Theodor-Heuss-Straße,Verkehrsunfall mit einer verletzten Person und Auswirkungen auf Bahnverkehr
238,13.02.2025,Parthenstein (Klinga),S45,Verkehrsunfall mit über 2 Promille
239,13.02.2025,Zuständigkeitsbereich der Polizeidirektion Leipzig,,Zahlreiche Unfälle aufgrund winterglatter Fahrbahnen
240,16.03.2025,Leipzig,,Festnahme nach Kellereinbruch
241,17.03.2025,Leipzig (Neustadt-Neuschönefeld),Neustädter Straße,Raubdelikt
242,18.03.2025,Leipzig (Zentrum-Nord),Eutritzscher Straße,Verkehrsunfall mit drei Verletzten
243,18.03.2025,Frohburg (Tautenhain),Tautenhainer Straße,Verkehrsunfall mit drei Verletzten
244,18.03.2025,Leipzig (Zentrum-Nord),Eutritzscher Straße/ Ernst-Pinkert-Straße,Verkehrsunfall zwischen Pedelec und Motorrad
245,16.03.2025,Rötha,Güntzelstraße,Falscher Polizeibeamter
246,17.03.2025,Leipzig (Connewitz),Arthur-Hoffmann-Straße,Fahrzeug beschädigt
247,19.03.2025,Leipzig (Grünau-Nord),,Täter nach Sachbeschädigung gestellt
248,08.03.2025,Leipzig (Zentrum-Nord),Springerstraße,Brand in einem Mehrfamilienhaus
249,08.03.2025,Leipzig (Volkmarsdorf),Schulze-Delitzsch-Straße,Einbruch in Geschäftsräume
250,08.03.2025,Leipzig (Zentrum-West),Ferdinand-Lassalle-Straße,19-Jähriger angegriffen
251,08.03.2025,Großpösna,,Bedrohung und Beleidigung
252,27.02.2025,Ort:Leipzig (Thekla),,Einbruch bei Pflegedienst
253,27.02.2025,Leipzig (Reudnitz-Thonberg),,Einbruch in Späti
254,27.02.2025,Schönwölkau (Badrina),,Brand in Nebengelass
255,27.02.2025,Leipzig (Zentrum),Markt,Tatverdächtige nach Sachbeschädigung gestellt
256,23.02.2025,Oschatz,,Sachbeschädigung an Bürgerbüro
257,27.02.2025,Leipzig (Zentrum-West),Marschnerstraße,Ohne Fahrerlaubnis und unter Alkohol und Drogen geflüchtet
258,27.02.2025,Schkeuditz,Paul-Thiersch-Straße,Unfallflucht mit Zeugenaufruf
259,19.02.2025,Parthenstein (Großsteinberg),Am See/Pomßener Landstraße,Ergänzungsmeldung - Schwerer Verkehrsunfall mit drei Verletzten
260,28.02.2025,Leipzig (Reudnitz-Thonberg),,Einbruch in Arztpraxis
261,28.02.2025,Leipzig (Reudnitz-Thonberg),,Einbruch in ein Geschäft
262,03.03.2025 08:00 Uhr bis 08:30 Uhr,Großpösna (Güldengossa),Auenhainer Straße,Diebstahl eines Transporters - ein Tatverdächtiger
263,02.03.2025,Leipzig (Connewitz),Thierbacher Straße,Diebstahl eines Toyota
264,03.03.2025,04158 Leipzig (Lützschena-Stahmeln),Hugo-Junkers-Straße,Radfahrer verletzt - Zeugenaufruf
265,01.03.2025,Leipzig (Zentrum-Süd),Karl-Liebknecht-Straße/Hohe Straße,Versuchter Raub
266,02.03.2025,Leipzig (Mockau-Nord),Dortmunder Straße,Einbruch in Geschäft
267,02.03.2025,Leipzig (Volkmarsdorf),Eisenbahnstraße,Auseinandersetzung in der Eisenbahnstraße
268,02.03.2025,Kitzscher,August-Bebel-Straße,Brand in Wohnung
269,02.03.2025,Otterwisch (Großbuch),Dorfstraße,Scheunenbrand
270,01.03.2025,Leipzig (Connewitz),Stockartstraße,Sachbeschädigung an renoviertem Mehrfamilienhaus
271,02.03.2025,Leipzig (Lausen-Grünau),Ratzelstraße,Haltestelle besprüht
272,02.03.2025,Leipzig (Neulindenau),Schomburgkstraße,Verkehrsunfall mit verletztem Motorradfahrer
273,02.03.2025,Leipzig (Neulindenau),Schomburgkstraße,Verkehrsunfall mit einer verletzten Person
274,02.03.2025,Eilenburg,B87 / B107,Fahrzeugbrand
275,02.03.2025,Bundesautobahn 14,"Kilometer 69,75",Pkw auf Autobahn überschlagen
276,03.03.2025,Leipzig (Zentrum-Südost),Semmelweisstraße,Automatensprengung an der S-Bahnhaltestelle MDR
277,11.02.2025 06:00 Uhr bis 13:30 Uhr,PD Leipzig,,Durchsuchungsmaßnahmen zur Bekämpfung der Kinderpornografie
278,12.02.2025,Frohburg (Flößberg),Straße des Friedens,Junge bei Unfall verletzt
279,11.02.2025,Leipzig (Gohlis-Mitte),Landsberger Straße,Falsche Polizeibeamte
280,10.02.2025,Eilenburg,Stadtpark,Diebstahl einer Bronzestatue
281,11.02.2025,Doberschütz (Paschwitz),Alte Dorfstraße,Fahrzeug gerät in Brand
282,11.02.2025,Leipzig (Grünau-Mitte),Ringstraße,Explosion im Hausflur
